"original address",latitude,longitude
"2621 E NEW YORK ST,INDIANAPOLIS,INDIANA",39.771655,-86.117952
"2317 MILBURN ST,INDIANAPOLIS,INDIANA",39.79992,-86.179541
"3458 N KENWOOD AVE,INDIANAPOLIS,INDIANA",39.818968,-86.160664
"219 W 34TH ST,INDIANAPOLIS,INDIANA",39.817121,-86.162209
"703 N SHERMAN DR,INDIANAPOLIS,INDIANA",39.776536,-86.101935
"1003 N TUXEDO ST,INDIANAPOLIS,INDIANA",39.781612,-86.108145
"2869 N DEARBORN ST,INDIANAPOLIS,INDIANA",39.808546,-86.111714
"1318 W 33RD ST,INDIANAPOLIS,INDIANA",39.814053,-86.185846
"2851 STATION ST,INDIANAPOLIS,INDIANA",39.808184,-86.103739
"1514 N MITTHOEFER RD,INDIANAPOLIS,INDIANA",39.788504,-85.991606
"870 N GLADSTONE AVE,INDIANAPOLIS,INDIANA",39.779508,-86.096609
"2348 SHELDON ST,INDIANAPOLIS,INDIANA",39.800851,-86.133541
"1235 BURDSAL PKWY,INDIANAPOLIS,INDIANA",39.800337,-86.183832
"2101 MEDFORD AVE,INDIANAPOLIS,INDIANA",39.795298,-86.209375
"969 ELM ST,INDIANAPOLIS,INDIANA",39.756039,-86.141707
"768 N WARMAN AVE,INDIANAPOLIS,INDIANA",39.778304,-86.206725
"1429 MINOCQUA ST,INDIANAPOLIS,INDIANA",39.748199,-86.112451
"473 N CONCORD ST,INDIANAPOLIS,INDIANA",39.774047,-86.210433
"7760 RIVER EDGE LN,INDIANAPOLIS,INDIANA",39.89648,-86.115806
"3427 BROUSE AVE,INDIANAPOLIS,INDIANA",39.819389,-86.122553
"38 S BELLEVIEW PL,INDIANAPOLIS,INDIANA",39.764587,-86.203115
"554 N OAKLAND AVE,INDIANAPOLIS,INDIANA",39.776089,-86.113376
"5344 FLETCHER AVE,INDIANAPOLIS,INDIANA",39.759587,-86.077142
"825 N PENNSYLVANIA ST,INDIANAPOLIS,INDIANA",39.778655,-86.155479
"3565 MOLLER RD,INDIANAPOLIS,INDIANA",39.820377,-86.255796
"1149 W 21ST ST,INDIANAPOLIS,INDIANA",39.79522,-86.182903
