OBJECTID,PARCEL_TAG,PARCEL_I,PARCEL_C,STREETADDRESS,CITY,ID,UTILITY_ST,NaN,NaN
2149,1031669,1098802,1098802,1216 E 15TH ST,INDIANAPOLIS,15383,1,-86.76535389075062,35.24199775413121
2150,1283147,9019262,9019262,2607 W WASHINGTON ST,INDIANAPOLIS,79658,0,-86.76535389075062,35.24199775413121
2151,1314066,8012258,8012258,3827 N KENWOOD AVE,INDIANAPOLIS,245735,1,-86.76535723901782,35.241997723733036
2152,1013143,1013505,1013505,2821 RUCKLE ST,INDIANAPOLIS,329118,1,-86.76535723901782,35.241997723733036
2153,1054409,1071144,1071144,444 TROWBRIDGE ST,INDIANAPOLIS,280507,1,-86.76535389075062,35.24199775413121
2154,1245427,8014589,8014589,2002 E 46TH ST,INDIANAPOLIS,141220,0,-86.76535389075062,35.24199775413121
2155,1345082,7037928,7037928,1752 WELLESLEY COMMONS,INDIANAPOLIS,283112,1,-86.76535389075062,35.24199775413121
2156,1276884,9024137,9024137,750 N CONCORD ST,INDIANAPOLIS,155877,0,-86.76535389075062,35.24199775413121
2157,1012439,1069741,1069741,1250 W 29TH ST,INDIANAPOLIS,237408,1,-86.76535389075062,35.24199775413121
2158,1032819,1055375,1055375,1334 N GALE ST,INDIANAPOLIS,220643,1,-86.76535723901782,35.241997723733036
2159,1125763,4003060,4003060,4101 N KITLEY AVE,INDIANAPOLIS,263768,0,-86.76535389075062,35.24199775413121
2160,1024180,1086113,1086113,4825 E 21ST ST,INDIANAPOLIS,326703,1,-86.76535389075062,35.24199775413121
2161,1027540,1050589,1050589,1837 N DEQUINCY ST,INDIANAPOLIS,315425,0,-86.76535389075062,35.24199775413121
2162,1012731,1032336,1032336,2848 MANLOVE AVE,INDIANAPOLIS,136479,1,-86.76535389075062,35.24199775413121
2163,1048727,1012263,1012263,9 N TEMPLE AVE,INDIANAPOLIS,326770,1,-86.76535723901782,35.241997723733036
2164,1015922,1058636,1058636,2641 GUILFORD AVE,INDIANAPOLIS,57813,0,-86.76535389075062,35.24199775413121
2165,1045817,1017138,1017138,2621 E NEW YORK ST,INDIANAPOLIS,91580,1,-86.76535389075062,35.24199775413121
2166,1020869,1051177,1051177,2317 MILBURN ST,INDIANAPOLIS,198944,0,-86.76535389075062,35.24199775413121
2167,1003074,1025672,1025672,3458 N KENWOOD AVE,INDIANAPOLIS,252911,0,-86.76535389075062,35.24199775413121
2168,1375576,1103643,1103643,219 W 34TH ST,INDIANAPOLIS,194073,0,-86.76535389075062,35.24199775413121
2169,1041003,1006871,1006871,703 N SHERMAN DR,INDIANAPOLIS,79733,1,-86.76535389075062,35.24199775413121
2170,1036196,1011801,1011801,1003 N TUXEDO ST,INDIANAPOLIS,294557,0,-86.76535389075062,35.24199775413121
2171,1012710,1036412,1036412,2869 N DEARBORN ST,INDIANAPOLIS,182934,0,-86.76535389075062,35.24199775413121
2172,1006550,1022207,1022207,1318 W 33RD ST,INDIANAPOLIS,56588,1,-86.76535389075062,35.24199775413121
2173,1013155,1074831,1074831,2851 STATION ST,INDIANAPOLIS,74551,0,-86.76535389075062,35.24199775413121
2174,1190937,7015262,7015262,1514 N MITTHOEFER RD,INDIANAPOLIS,103813,0,-86.76535389075062,35.24199775413121
2175,1038187,1047188,1047188,870 N GLADSTONE AVE,INDIANAPOLIS,98208,0,-86.76535389075062,35.24199775413121
2176,1020273,1044262,1044262,2348 SHELDON ST,INDIANAPOLIS,289604,1,-86.76535723901782,35.241997723733036
2177,1020396,1007808,1007808,1235 BURDSAL PKWY,INDIANAPOLIS,263281,0,-86.76535389075062,35.24199775413121
2178,1265488,9028333,9028333,2101 MEDFORD AVE,INDIANAPOLIS,49031,1,-86.76535389075062,35.24199775413121
2179,1058285,1090811,1090811,969 ELM ST,INDIANAPOLIS,8097,0,-86.76535389075062,35.24199775413121
2180,1276629,9021572,9021572,768 N WARMAN AVE,INDIANAPOLIS,158211,0,-86.76535389075062,35.24199775413121
2181,1064738,1038152,1038152,1429 MINOCQUA ST,INDIANAPOLIS,294666,1,-86.76535389075062,35.24199775413121
2182,1365690,9022579,9022579,473 N CONCORD ST,INDIANAPOLIS,49693,0,-86.76535389075062,35.24199775413121
2183,1217915,8045976,8045976,7760 RIVER EDGE LN,INDIANAPOLIS,221506,1,-86.76535723901782,35.241997723733036
2184,1002867,1025321,1025321,3427 BROUSE AVE,INDIANAPOLIS,38741,0,-86.76535389075062,35.24199775413121
2185,1283494,9017629,9017629,38 S BELLEVIEW PL,INDIANAPOLIS,96409,1,-86.76535389075062,35.24199775413121
2186,1041315,1006614,1006614,554 N OAKLAND AVE,INDIANAPOLIS,89278,0,-86.76535389075062,35.24199775413121
2187,1204482,7013152,7013152,5344 FLETCHER AVE,INDIANAPOLIS,66480,0,-86.76535389075062,35.24199775413121
2188,1038848,1026637,1026637,825 N PENNSYLVANIA ST,INDIANAPOLIS,281739,0,-86.76535389075062,35.24199775413121
2189,1252959,9037712,9037712,3565 MOLLER RD,INDIANAPOLIS,146738,0,-86.76535389075062,35.24199775413121
2190,1024437,1088863,1088863,1149 W 21ST ST,INDIANAPOLIS,17570,1,-86.76535389075062,35.24199775413121
2191,1004770,1031656,1031656,3350 N KENWOOD AVE,INDIANAPOLIS,290576,1,-86.76535389075062,35.24199775413121
2192,1010062,1042447,1042447,3010 N GLADSTONE AVE,INDIANAPOLIS,340162,0,-86.76535389075062,35.24199775413121
